,separate into parts,divide into groups or categories,mark the boundary,isolate constituent parts,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
English : allot,X,X,.,.,.,.,X,.
English : separate,X,.,.,X,.,X,.,.
English : displace,.,.,.,.,.,X,.,.
English : Disperse,.,.,.,.,.,X,X,.
English : Scatter,.,.,.,.,.,X,X,X
English : pack,.,.,.,.,X,.,.,.
English : dispense,.,.,.,.,X,.,X,.
English : deal,.,.,.,.,X,.,X,X
English : Sort,.,X,.,X,X,.,.,.
English : Pack,.,.,.,X,X,X,.,.
English : Dispense,.,.,.,X,X,.,X,.
English : allocate,.,X,.,.,.,.,X,X
English : Sift,.,X,.,.,X,X,X,.
English : Allocate,.,X,.,.,X,.,X,X
English : Dispatch,.,X,.,.,X,X,X,X
English : classify,.,X,.,X,.,.,X,.
English : categorize,.,X,.,X,.,.,X,X
English : Classify,.,X,.,X,X,X,.,.
English : Demarcate,.,X,X,X,.,.,X,.
English : dole,X,.,.,.,.,.,X,.
English : Disseminate,X,.,.,.,.,.,X,X
English : scatter,X,.,.,.,.,X,X,.
English : Sow,X,.,.,.,.,X,X,X
English : Stow,X,.,.,.,X,.,.,.
English : Shed,X,.,.,.,X,X,X,.
English : Disassemble,X,.,.,.,X,X,.,.
English : dissect,X,X,.,X,.,.,.,.
English : Categorize,X,X,.,.,X,.,.,.
